Seam_Name,Label,Feat_0_Mean,Feat_1_Mean,Feat_2_Mean,Feat_3_Mean,Feat_4_Mean,Feat_5_Mean,Feat_6_Mean,Feat_7_Mean,Feat_8_Mean,Feat_9_Mean,Feat_10_Mean,Feat_11_Mean,Feat_12_Mean,Feat_13_Mean,Feat_14_Mean,Feat_15_Mean,Feat_16_Mean,Feat_17_Mean
c02,0,-1.3168689,-0.2192209,-1.1596005,0.28336805,-1.2766435,-0.039397657,-0.95057935,-0.5152067,-0.86753356,-1.3758576,-1.4017661,0.7758748,1.2354823,-0.97141206,-1.2219326,-1.1151772,-0.89879113,-1.0759064
a01,1,-0.84174746,-1.3705896,-0.54607594,0.06571105,-0.74230784,-1.467813,-0.67935663,-0.8432592,0.107457995,-0.026911214,-0.38808626,0.28970847,0.5081533,0.7192012,-0.07122058,0.2431258,-1.0628464,-0.68990743
b01,2,0.4746078,0.6079589,0.33645636,0.34488705,0.41591066,0.37676588,0.780701,0.033700325,0.025094997,0.27900773,0.56160444,-0.19692586,-0.2399613,0.93390274,0.7743845,0.7261716,0.41977462,0.2832336
a01,2,0.6328318,1.1858021,0.2126123,-0.02787841,0.48696598,1.1909609,0.5201477,0.20622976,-0.53215337,0.70145303,1.1225148,-0.5651681,-1.6416447,-0.22950487,0.46088094,0.17540044,0.994228,0.95579356
c01,1,-0.7692295,-0.3138908,-0.49758917,0.2584774,-0.63952494,0.04959185,-0.26597574,-0.34131896,-1.2493913,-0.87054425,-0.9626336,-0.33323845,0.5511454,-0.6423375,-0.58293444,-0.6482939,0.1508356,0.18575637
b01,2,0.2750458,0.5301205,0.2768081,0.015170192,0.3516453,0.49242678,0.44940162,0.07305516,0.4243961,0.10965347,0.6437502,-0.62587965,0.06440264,1.090499,0.54522717,0.55076563,0.112020716,-0.09224137
b01,1,-0.1712014,0.14092883,0.24313128,-0.85857946,-0.041087512,-0.03783394,-0.8925392,1.2124252,-0.18629971,-0.961847,-0.54140806,-1.2778546,0.9048184,0.81645554,0.11961319,0.38299888,-0.86319476,-1.0626556
b01,0,-1.3858612,-1.1304308,-1.4632427,0.559203,-1.5620344,-0.43463975,-0.2803945,-1.0173614,-0.37420613,-1.0451401,-1.591214,0.15880254,0.95889187,-1.7869568,-1.5195001,-2.0711927,2.4970195,1.1245081
b01,1,-0.35443982,0.14092882,0.05657822,-0.46291924,-0.31243014,-0.004025364,-0.6014244,1.2882553,-0.068858206,-0.8233708,-0.35526353,-1.2367547,0.8131925,0.71858287,0.37563047,0.590063,-0.51836646,-0.6218859
b01,0,-1.1639907,-0.0666401,-1.3878847,0.3613729,-1.3620977,-0.12591416,-0.47707558,-0.73515856,-1.3607147,-1.3160212,-1.6713951,-0.3465875,0.9803691,-2.9614289,-3.4308789,-3.0035348,-0.8542458,-1.0984912
a01,2,0.5075911,0.93572026,0.40801978,-0.17762156,0.47998148,1.1579001,0.5757057,0.8222645,-0.6775195,1.8341703,1.0546819,0.37684977,-1.6712099,-0.44843706,0.14213309,-0.20064135,0.92881316,0.9357672
a01,2,0.28186467,0.40776986,0.13447721,0.40263313,0.31235322,0.5448278,1.073144,-0.20492463,-0.096054696,1.2735369,1.0604234,-0.10056267,-1.0192966,-0.26599354,0.24616647,-0.13181788,1.1080654,0.87127894
c01,2,1.4811004,0.36670047,1.439902,-1.2047371,1.6718838,-0.4773714,0.008660662,1.2508417,1.5242575,1.5072374,1.6267672,0.9236643,-1.1111467,1.2389147,1.344873,1.4208953,0.05558964,0.96973497
a01,2,0.49035853,-0.42583618,0.6350409,-0.3835184,0.6476098,-0.3495503,0.70442593,0.1658112,-0.5321533,0.54000056,1.0670254,-0.6323899,-1.0984529,-2.6377587,-1.5866747,-1.3941503,0.5616745,-0.6587218
a01,2,-0.11149758,0.3244092,-0.40431213,1.0390415,-0.20450056,0.2397416,0.83540726,-0.41537994,-0.06698146,-0.32700294,0.026666712,-0.34742895,0.25778088,1.1205769,1.3842311,1.7344862,0.29841155,0.47502223
b01,1,-0.50720817,-0.40393957,0.08943805,-0.38049,-0.38383612,-0.4364192,-0.5409244,1.0943607,0.5418376,-0.97679615,-0.79348105,-0.97705,0.93892306,0.464114,-0.17992927,-0.21672097,-0.2517551,-1.5003157
a01,2,0.6410363,1.3525233,0.21257584,-0.2899289,0.57078016,1.4774867,0.3337699,-0.1338437,-0.7647392,0.441245,0.95784223,-0.60666007,-1.9094265,-0.33897096,0.40699515,-0.03347786,1.4148219,0.98905087
b01,0,-1.57257,0.7636355,-1.9659903,0.7405473,-1.5977374,1.8412107,-0.14421353,-1.1210278,-0.16281141,-1.1020639,-1.4207165,-0.28571653,1.018061,-1.0235503,-1.7487053,-1.6523634,-1.2044281,-1.6774166
a01,0,-1.5287472,0.21326175,-1.7437227,1.7316034,-1.6433098,0.29252267,-0.32339758,-1.0843769,0.68892276,-0.75376606,-1.3652923,0.7882579,1.3856883,-0.22950487,-0.89529264,-1.0796686,-0.30348426,-1.305095
a01,2,-0.2583554,0.07432743,0.04946897,-0.5894152,-0.17656252,-0.24804828,-0.7925722,0.6926463,-0.096054696,0.11926468,0.36589283,-0.3106588,-0.039234743,0.75569,0.84585744,1.1721499,-0.19791412,0.6333355
a01,2,-0.016800556,0.40776983,0.30491948,-1.0012089,0.18663205,0.10981898,-1.020134,0.7442149,0.13653123,0.13049448,0.60681,-0.5327164,-0.22467741,0.6827125,0.7498323,0.7769641,0.42266244,0.77994484
a01,2,0.5173801,1.6859658,0.042522572,-0.5706973,0.38918287,2.262242,-0.23246975,0.4111101,-0.8228857,2.2357018,1.559727,0.22219293,-2.3163931,-0.04706139,0.5941802,0.16116473,1.53042,0.99785453
b01,2,0.43478695,0.53012055,0.34340307,-0.03428734,0.43733245,0.22106853,0.3839901,0.14600556,0.11904819,0.21314009,0.56283134,-0.33445978,-0.087230206,0.7381574,0.61098444,0.563518,0.30364758,0.25988597
b01,2,0.7573059,0.24471328,0.5118267,-0.017801488,0.75865924,0.46262187,0.6708631,-0.4001626,-0.42118272,1.0522382,0.66153926,1.2222269,-0.6155902,0.48368853,0.6468407,0.6768642,0.12690635,0.3584708
b01,0,-1.3169439,-1.0007002,-1.1677653,0.39434463,-1.4549254,-0.94621676,-0.44291872,-0.5259061,-1.0318786,-1.3055664,-1.6008422,-0.4495941,0.98272884,-2.609087,-2.8862603,-2.6616588,-0.6901118,-0.50077343
a01,2,0.6094262,0.102114275,0.6144876,-0.25249314,0.6196717,0.09995878,0.4707269,0.19926102,-0.47400683,0.5356683,1.3404626,-0.8536248,-1.4129565,-0.77683526,-0.06729441,-0.6825247,1.6696959,1.1331733
b01,2,0.3306198,0.2966055,0.30859113,0.37785873,0.3302235,0.3033657,0.85068905,0.05001817,-0.16281141,0.38078094,0.48906532,0.10220114,-0.5842301,0.4445395,0.56703395,0.59899914,0.05768776,0.36537078
c02,0,-1.4724047,0.24230163,-0.9432231,-0.28446847,-1.0871537,0.55942297,-1.3379358,0.094148874,-1.5292586,-1.5974315,-1.5994982,1.1065633,1.4393203,-0.49419218,-0.95148593,-0.88958234,-0.6971362,-0.6567155
a01,2,0.6333102,0.6578516,0.66369504,-0.5519794,0.6545943,0.6254494,-0.021704579,0.95885134,-0.50308007,0.83636487,1.0248623,-0.38065547,-1.2976193,-0.44843704,0.243413,-0.2650327,1.5083692,0.924678
c02,2,0.68565524,-0.72469807,0.36900097,0.5837622,0.41397572,-0.7591387,1.0100772,-0.55349886,-0.04037724,0.67138165,0.78887033,-1.1547406,-0.6152462,0.19777668,0.28658623,0.3459302,-0.07997139,0.57877886
a01,2,0.5904915,0.018753696,0.73165685,-0.47710785,0.7314239,-0.079844855,0.43632612,0.6410778,-0.4449336,0.62416816,1.146287,-0.6388689,-1.1712692,-4.1337953,-3.27874,-2.409766,1.0563023,-0.70411545
a01,2,0.47656146,0.29662237,0.42536402,-0.4958257,0.4031519,0.115619086,-0.169967,0.39996013,-0.7647392,0.5885962,1.0338622,-0.56961393,-1.5009505,-0.74034655,0.30624646,-0.24554463,1.6800047,1.0726097
b01,2,0.67575234,0.5820128,0.26220095,0.95486325,0.6729721,0.5947422,1.6847416,-0.60269594,-0.46815935,1.1945522,0.8659819,1.2340764,-0.88771665,0.09219794,0.47645003,0.48923945,0.052188326,0.6079701
b01,2,0.4255971,0.2966055,0.40591818,-0.0013156533,0.40162945,0.16012412,0.43734628,0.17864127,0.09555989,0.62338257,0.4652111,0.6132797,-0.89578354,0.5815612,0.37839007,0.41192812,-0.09543975,0.091003224
a01,2,-0.2510765,0.24104862,-0.4580167,1.4508351,-0.28831467,0.38474455,1.3851733,-0.4836734,0.07838474,-0.20266661,0.07932971,-0.30439854,0.20484392,1.0840881,1.5102413,1.9682503,0.20053443,0.545318
b01,2,0.7002699,0.29660553,0.4335045,0.4108304,0.6229879,-0.070752814,0.8707813,-0.44623652,-0.068858206,1.2524012,0.61314785,1.7159474,-0.51738447,0.4053904,0.7470305,0.72231483,0.3409499,0.65949345
a01,2,0.07521421,0.40776983,0.22598219,-0.73915833,0.33330676,0.4038849,-0.5740548,0.076611586,-0.2414209,0.47211686,1.196239,-0.7831397,-0.65406215,0.09889339,0.23876765,-0.059594266,0.86044586,0.6311127
c01,2,1.3027205,0.08129121,1.1432524,-0.84264815,1.4173292,-0.6344224,0.44273177,0.8220437,1.3803418,1.2557781,1.4573796,0.5341698,-0.8028824,1.1636646,1.1266174,1.2291901,-0.17555569,0.8341425
b01,2,0.69794816,0.21876717,0.67278445,-0.034287337,0.6515503,0.07871665,0.47730756,0.14888515,-0.5151359,0.8247391,0.45342746,1.0389328,-0.8426201,0.6402847,0.68228024,0.60375416,0.4277521,0.50629944
a01,2,0.26474184,0.8801466,0.21293435,-0.42095417,0.2844152,0.9954969,-0.10326505,0.73585236,-0.7065928,0.7255243,0.9885972,-0.43603748,-1.502356,-0.41194835,0.0009814054,-0.42568693,1.0734338,0.8490694
b01,2,-0.32125437,0.5041744,-0.24913459,0.6086605,-0.19818063,0.17969751,0.45755014,0.17960115,0.025094975,-0.05010565,0.19780456,-0.39907998,0.27237886,0.17049608,0.5477459,0.6063141,-0.024948724,0.63113004
