feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,label
-0.5268158550463677,-0.7090729127870031,-0.46977827599933025,0.5889725990773279,-0.5264209003345297,-0.37884652475593344,0.42931424994968054,-0.6093972548841682,-1.2493913969092096,-0.6813242544698602,-0.8354232492902138,-0.06331248891340129,0.16788253764730915,-0.2660870443513768,-0.45438325843662186,-0.5174515035064523,0.07660451828424734,-0.4545462747277134,quasistable
-0.7783771217697212,-0.489527324727429,-0.09896662347719239,-0.6948763183877009,-0.3216304901068989,-0.23974505157210058,-1.4221648482400135,0.5034118398299032,-1.053142653904131,-0.7925342977727946,-0.8175461508723926,-0.5551150357202247,0.6007608212881519,0.11016342600534593,-0.03879840541575056,-0.26966970537609875,0.8291217660765916,-0.15197333073700994,quasistable
-0.8012463278354806,1.4863829678087388,-0.9796442982172698,0.585643469349033,-0.8569798166837405,1.7759328982764022,-0.36779873779287503,-0.6342265781945294,-1.1839751492408501,-0.8521865044224035,-0.9397004140002735,-0.35200195713568594,0.5962080887324561,-0.1406702208991359,-0.7188899989457751,-0.5987552516031389,-0.8047135831788591,-1.6013295307690776,quasistable
-0.5496850611121271,1.5961557618385258,-0.8405899285214682,0.6313335207146716,-0.5779283777924986,1.8916131391338964,0.18678283233331988,-0.6069678215039533,-1.1839751492408501,-0.7070606077107281,-0.8332887762145438,-0.17200040384281562,0.20493611077556056,0.11016342600534593,-0.5188760634447568,-0.4084567073637778,-0.7930732031504882,-1.1753961503415038,quasistable
-0.6869002975066836,0.9375189976598033,-0.7015355588256664,0.2673962619648848,-0.6107060214325793,1.1544570501159566,-0.43279786108400414,-0.3803929891761323,-0.7914776632306929,-0.6787230145665332,-0.8072070753098447,-0.15548608476317827,0.6166826070069565,0.23558024945758685,-0.40331211101966796,-0.3102331096223782,-0.7177444996739332,-1.235976709929525,quasistable
-0.7555079157039618,0.38865502751086783,-0.8869413850867354,0.8616409753276686,-0.8934838428706492,0.8089331481203479,0.1962886475388443,-0.8298617967933978,-0.9877264062357716,-0.7543231751878403,-0.838295214724255,-0.3375551785955956,0.5593190135225518,-0.2660870443513768,-0.6945326460749778,-0.630714967598708,-0.5154742869192349,-0.8869266290882217,quasistable
-0.6640310914409241,1.1570645857193775,-0.7015355588256664,0.4105585623039327,-0.5441868111857714,1.4731599413321848,-0.034216960214089216,-0.4447450539552024,-1.1185589015724906,-0.7164379667504718,-0.8375080834571473,-0.19334404196289012,0.33024485536887116,-0.015253397446894985,-0.5162984992102007,-0.5336857121851705,-0.14518479046904753,-0.6672346876875268,quasistable
-0.709769503572443,-1.1481640889061515,-0.7942384719562009,1.1054409100598896,-1.0054228532945653,-0.637680631318097,0.4996784407203888,-0.995638696563971,-0.7914776632306929,-0.7015674796626457,-0.8406495172529009,-0.1237260854021046,0.6363555090224556,0.23558024945758685,-0.5012753429867901,-0.48436379753456904,-0.32889122810866656,-1.410236000034014,quasistable
-0.8012463278354806,0.8277462036300162,-1.1186986679130715,0.9701328702973634,-1.0994656208766604,1.0821270159241454,-0.09546341417249934,-0.955204916654216,-1.2493913969092096,-0.89428185390927,-0.9620166491136742,-0.4356382455579823,0.556902657651863,-0.2660870443513768,-0.8632114790446639,-0.7175701957749018,-0.8920632581927749,-2.4969129355712933,quasistable
-0.82411553390124,-1.4774824709955128,-0.9332928416520025,1.2387606453128448,-1.2357316384408414,-1.0519151206976396,0.35557982859508047,-1.131868975131017,-1.2493913969092096,-0.8844083265133853,-0.9681718737970019,-0.3731987777757958,0.4996206842505814,-0.2660870443513768,-0.7450699623850177,-0.6431892096897122,-0.7007308457676187,-2.599601423128803,quasistable
