model_name,method_slug,sample_index,seam_name,boundary_type,boundary_distance_bin,start_idx,target_idx,input_step,relative_step,relative_time_s,attention_weight,y_true,y_pred,correct
Teacher,teacher,273,c01,1->2,Near,146,151,0,-5,-0.05,0.1816360056400299,1,1,True
Teacher,teacher,273,c01,1->2,Near,146,151,1,-4,-0.04,0.19858412444591522,1,1,True
Teacher,teacher,273,c01,1->2,Near,146,151,2,-3,-0.03,0.19666385650634766,1,1,True
Teacher,teacher,273,c01,1->2,Near,146,151,3,-2,-0.02,0.21267496049404144,1,1,True
Teacher,teacher,273,c01,1->2,Near,146,151,4,-1,-0.01,0.21044108271598816,1,1,True
Teacher,teacher,79,b01,1->2,Near,282,287,0,-5,-0.05,0.16822704672813416,1,1,True
Teacher,teacher,79,b01,1->2,Near,282,287,1,-4,-0.04,0.20324046909809113,1,1,True
Teacher,teacher,79,b01,1->2,Near,282,287,2,-3,-0.03,0.21266162395477295,1,1,True
Teacher,teacher,79,b01,1->2,Near,282,287,3,-2,-0.02,0.2190394103527069,1,1,True
Teacher,teacher,79,b01,1->2,Near,282,287,4,-1,-0.01,0.19683150947093964,1,1,True
Teacher,teacher,169,a01,1->2,Near,216,221,0,-5,-0.05,0.19019584357738495,1,1,True
Teacher,teacher,169,a01,1->2,Near,216,221,1,-4,-0.04,0.1999458372592926,1,1,True
Teacher,teacher,169,a01,1->2,Near,216,221,2,-3,-0.03,0.2088741958141327,1,1,True
Teacher,teacher,169,a01,1->2,Near,216,221,3,-2,-0.02,0.2087692767381668,1,1,True
Teacher,teacher,169,a01,1->2,Near,216,221,4,-1,-0.01,0.19221487641334534,1,1,True
Teacher,teacher,350,c01,1->2,Near,145,150,0,-5,-0.05,0.1858399212360382,1,1,True
Teacher,teacher,350,c01,1->2,Near,145,150,1,-4,-0.04,0.19805973768234253,1,1,True
Teacher,teacher,350,c01,1->2,Near,145,150,2,-3,-0.03,0.1988951414823532,1,1,True
Teacher,teacher,350,c01,1->2,Near,145,150,3,-2,-0.02,0.20533616840839386,1,1,True
Teacher,teacher,350,c01,1->2,Near,145,150,4,-1,-0.01,0.2118690460920334,1,1,True
Student-only,student_only,9,c02,0->1,Near,84,89,0,-5,-0.05,0.08420608937740326,0,1,False
Student-only,student_only,9,c02,0->1,Near,84,89,1,-4,-0.04,0.18377532064914703,0,1,False
Student-only,student_only,9,c02,0->1,Near,84,89,2,-3,-0.03,0.1446666419506073,0,1,False
Student-only,student_only,9,c02,0->1,Near,84,89,3,-2,-0.02,0.22958731651306152,0,1,False
Student-only,student_only,9,c02,0->1,Near,84,89,4,-1,-0.01,0.3577645719051361,0,1,False
Student-only,student_only,42,a01,0->1,Near,103,108,0,-5,-0.05,0.1340862512588501,0,0,True
Student-only,student_only,42,a01,0->1,Near,103,108,1,-4,-0.04,0.21712972223758698,0,0,True
Student-only,student_only,42,a01,0->1,Near,103,108,2,-3,-0.03,0.16564396023750305,0,0,True
Student-only,student_only,42,a01,0->1,Near,103,108,3,-2,-0.02,0.15581171214580536,0,0,True
Student-only,student_only,42,a01,0->1,Near,103,108,4,-1,-0.01,0.3273284137248993,0,0,True
Student-only,student_only,120,b01,0->1,Near,143,148,0,-5,-0.05,0.10535381734371185,0,1,False
Student-only,student_only,120,b01,0->1,Near,143,148,1,-4,-0.04,0.12599743902683258,0,1,False
Student-only,student_only,120,b01,0->1,Near,143,148,2,-3,-0.03,0.16010554134845734,0,1,False
Student-only,student_only,120,b01,0->1,Near,143,148,3,-2,-0.02,0.19198034703731537,0,1,False
Student-only,student_only,120,b01,0->1,Near,143,148,4,-1,-0.01,0.41656285524368286,0,1,False
Student-only,student_only,249,c01,0->1,Near,28,33,0,-5,-0.05,0.1517920345067978,0,1,False
Student-only,student_only,249,c01,0->1,Near,28,33,1,-4,-0.04,0.20492251217365265,0,1,False
Student-only,student_only,249,c01,0->1,Near,28,33,2,-3,-0.03,0.2521446943283081,0,1,False
Student-only,student_only,249,c01,0->1,Near,28,33,3,-2,-0.02,0.16970470547676086,0,1,False
Student-only,student_only,249,c01,0->1,Near,28,33,4,-1,-0.01,0.2214360535144806,0,1,False
Student-only,student_only,114,b01,0->1,Near,142,147,0,-5,-0.05,0.1198420375585556,0,1,False
Student-only,student_only,114,b01,0->1,Near,142,147,1,-4,-0.04,0.13549984991550446,0,1,False
Student-only,student_only,114,b01,0->1,Near,142,147,2,-3,-0.03,0.1593126505613327,0,1,False
Student-only,student_only,114,b01,0->1,Near,142,147,3,-2,-0.02,0.16505983471870422,0,1,False
Student-only,student_only,114,b01,0->1,Near,142,147,4,-1,-0.01,0.4202856123447418,0,1,False
Student-only,student_only,189,c01,0->1,Near,27,32,0,-5,-0.05,0.13433605432510376,0,1,False
Student-only,student_only,189,c01,0->1,Near,27,32,1,-4,-0.04,0.2379578799009323,0,1,False
Student-only,student_only,189,c01,0->1,Near,27,32,2,-3,-0.03,0.18905463814735413,0,1,False
Student-only,student_only,189,c01,0->1,Near,27,32,3,-2,-0.02,0.222931370139122,0,1,False
Student-only,student_only,189,c01,0->1,Near,27,32,4,-1,-0.01,0.21572011709213257,0,1,False
Student-only,student_only,247,a01,0->1,Near,102,107,0,-5,-0.05,0.18420644104480743,0,0,True
Student-only,student_only,247,a01,0->1,Near,102,107,1,-4,-0.04,0.1811043918132782,0,0,True
Student-only,student_only,247,a01,0->1,Near,102,107,2,-3,-0.03,0.19327014684677124,0,0,True
Student-only,student_only,247,a01,0->1,Near,102,107,3,-2,-0.02,0.14491267502307892,0,0,True
Student-only,student_only,247,a01,0->1,Near,102,107,4,-1,-0.01,0.2965063452720642,0,0,True
Student-only,student_only,286,c02,0->1,Near,83,88,0,-5,-0.05,0.11186639964580536,0,1,False
Student-only,student_only,286,c02,0->1,Near,83,88,1,-4,-0.04,0.14694160223007202,0,1,False
Student-only,student_only,286,c02,0->1,Near,83,88,2,-3,-0.03,0.13860277831554413,0,1,False
Student-only,student_only,286,c02,0->1,Near,83,88,3,-2,-0.02,0.13057100772857666,0,1,False
Student-only,student_only,286,c02,0->1,Near,83,88,4,-1,-0.01,0.47201818227767944,0,1,False
Student-only,student_only,121,a01,0->1,Near,101,106,0,-5,-0.05,0.11336789280176163,0,0,True
Student-only,student_only,121,a01,0->1,Near,101,106,1,-4,-0.04,0.23452505469322205,0,0,True
Student-only,student_only,121,a01,0->1,Near,101,106,2,-3,-0.03,0.15653210878372192,0,0,True
Student-only,student_only,121,a01,0->1,Near,101,106,3,-2,-0.02,0.21644103527069092,0,0,True
Student-only,student_only,121,a01,0->1,Near,101,106,4,-1,-0.01,0.2791338860988617,0,0,True
Student-only,student_only,132,c02,0->1,Near,82,87,0,-5,-0.05,0.13825365900993347,0,1,False
Student-only,student_only,132,c02,0->1,Near,82,87,1,-4,-0.04,0.16850332915782928,0,1,False
Student-only,student_only,132,c02,0->1,Near,82,87,2,-3,-0.03,0.13464893400669098,0,1,False
Student-only,student_only,132,c02,0->1,Near,82,87,3,-2,-0.02,0.18164655566215515,0,1,False
Student-only,student_only,132,c02,0->1,Near,82,87,4,-1,-0.01,0.3769474923610687,0,1,False
Student-only,student_only,343,b01,0->1,Near,141,146,0,-5,-0.05,0.08992935717105865,0,1,False
Student-only,student_only,343,b01,0->1,Near,141,146,1,-4,-0.04,0.19216421246528625,0,1,False
Student-only,student_only,343,b01,0->1,Near,141,146,2,-3,-0.03,0.1616688221693039,0,1,False
Student-only,student_only,343,b01,0->1,Near,141,146,3,-2,-0.02,0.19722428917884827,0,1,False
Student-only,student_only,343,b01,0->1,Near,141,146,4,-1,-0.01,0.35901331901550293,0,1,False
Student-only,student_only,151,b01,0->1,Near,140,145,0,-5,-0.05,0.08329515159130096,0,1,False
Student-only,student_only,151,b01,0->1,Near,140,145,1,-4,-0.04,0.21613535284996033,0,1,False
Student-only,student_only,151,b01,0->1,Near,140,145,2,-3,-0.03,0.17984548211097717,0,1,False
Student-only,student_only,151,b01,0->1,Near,140,145,3,-2,-0.02,0.151310533285141,0,1,False
Student-only,student_only,151,b01,0->1,Near,140,145,4,-1,-0.01,0.36941349506378174,0,1,False
Student-only,student_only,215,c01,0->1,Near,25,30,0,-5,-0.05,0.12264925241470337,0,0,True
Student-only,student_only,215,c01,0->1,Near,25,30,1,-4,-0.04,0.2581063508987427,0,0,True
Student-only,student_only,215,c01,0->1,Near,25,30,2,-3,-0.03,0.17247584462165833,0,0,True
Student-only,student_only,215,c01,0->1,Near,25,30,3,-2,-0.02,0.23705783486366272,0,0,True
Student-only,student_only,215,c01,0->1,Near,25,30,4,-1,-0.01,0.2097107619047165,0,0,True
Student-only,student_only,346,a01,0->1,Near,100,105,0,-5,-0.05,0.12394924461841583,0,0,True
Student-only,student_only,346,a01,0->1,Near,100,105,1,-4,-0.04,0.13190481066703796,0,0,True
Student-only,student_only,346,a01,0->1,Near,100,105,2,-3,-0.03,0.15311798453330994,0,0,True
Student-only,student_only,346,a01,0->1,Near,100,105,3,-2,-0.02,0.16301290690898895,0,0,True
Student-only,student_only,346,a01,0->1,Near,100,105,4,-1,-0.01,0.4280150532722473,0,0,True
Student-only,student_only,17,a01,0->1,Near,99,104,0,-5,-0.05,0.10312111675739288,0,0,True
Student-only,student_only,17,a01,0->1,Near,99,104,1,-4,-0.04,0.18321561813354492,0,0,True
Student-only,student_only,17,a01,0->1,Near,99,104,2,-3,-0.03,0.1121024340391159,0,0,True
Student-only,student_only,17,a01,0->1,Near,99,104,3,-2,-0.02,0.19424428045749664,0,0,True
Student-only,student_only,17,a01,0->1,Near,99,104,4,-1,-0.01,0.4073165953159332,0,0,True
Student-only,student_only,270,b01,0->1,Near,139,144,0,-5,-0.05,0.11241908371448517,0,1,False
Student-only,student_only,270,b01,0->1,Near,139,144,1,-4,-0.04,0.13992592692375183,0,1,False
Student-only,student_only,270,b01,0->1,Near,139,144,2,-3,-0.03,0.1585894674062729,0,1,False
Student-only,student_only,270,b01,0->1,Near,139,144,3,-2,-0.02,0.13178467750549316,0,1,False
Student-only,student_only,270,b01,0->1,Near,139,144,4,-1,-0.01,0.45728087425231934,0,1,False
Student-only,student_only,53,c02,1->2,Near,107,112,0,-5,-0.05,0.043330151587724686,1,2,False
Student-only,student_only,53,c02,1->2,Near,107,112,1,-4,-0.04,0.10749229043722153,1,2,False
Student-only,student_only,53,c02,1->2,Near,107,112,2,-3,-0.03,0.23954471945762634,1,2,False
Student-only,student_only,53,c02,1->2,Near,107,112,3,-2,-0.02,0.15422283113002777,1,2,False
Student-only,student_only,53,c02,1->2,Near,107,112,4,-1,-0.01,0.4554100036621094,1,2,False
Student-only,student_only,131,c01,1->2,Near,149,154,0,-5,-0.05,0.12398985773324966,1,2,False
Student-only,student_only,131,c01,1->2,Near,149,154,1,-4,-0.04,0.16017021238803864,1,2,False
