model_name,sample_index,x_2d,y_2d,y_true,y_pred,correct,seam_name,start_idx,target_idx,projection_method,projection_space,projection_random_state
Teacher,176,9.03689956665039,18.775423049926758,0,0,True,b01,134,139,umap,strict_raw_latent,42
Teacher,177,13.282273292541504,16.137346267700195,1,1,True,b01,278,283,umap,strict_raw_latent,42
Teacher,178,7.077763080596924,-2.0758042335510254,2,2,True,b01,596,601,umap,strict_raw_latent,42
Teacher,179,8.711884498596191,-2.500927686691284,2,2,True,b01,537,542,umap,strict_raw_latent,42
Teacher,180,7.281793117523193,-2.5205509662628174,2,2,True,b01,565,570,umap,strict_raw_latent,42
Teacher,181,11.347050666809082,15.650321960449219,1,1,True,c01,132,137,umap,strict_raw_latent,42
Teacher,182,8.650129318237305,-2.5197031497955322,2,2,True,b01,556,561,umap,strict_raw_latent,42
Teacher,183,6.048037528991699,-8.374283790588379,2,2,True,a01,524,529,umap,strict_raw_latent,42
Teacher,184,11.398120880126953,15.677850723266602,1,1,True,c01,129,134,umap,strict_raw_latent,42
Teacher,185,8.128747940063477,-1.2789150476455688,2,2,True,c02,217,222,umap,strict_raw_latent,42
Teacher,186,7.179523468017578,-2.8517158031463623,2,2,True,b01,578,583,umap,strict_raw_latent,42
Teacher,187,7.178587913513184,-2.864903211593628,2,2,True,b01,573,578,umap,strict_raw_latent,42
Teacher,188,13.09714412689209,16.009021759033203,1,1,True,b01,260,265,umap,strict_raw_latent,42
Teacher,189,12.866559982299805,16.034446716308594,0,1,False,c01,27,32,umap,strict_raw_latent,42
Teacher,190,9.687472343444824,18.34973907470703,0,0,True,c02,75,80,umap,strict_raw_latent,42
Teacher,191,6.364226341247559,-7.138883590698242,2,2,True,a01,487,492,umap,strict_raw_latent,42
Teacher,192,7.315723896026611,-2.4001359939575195,2,2,True,b01,560,565,umap,strict_raw_latent,42
Teacher,193,4.812594413757324,-8.00750732421875,2,2,True,a01,554,559,umap,strict_raw_latent,42
Teacher,194,8.161001205444336,-1.303765892982483,2,2,True,c02,214,219,umap,strict_raw_latent,42
Teacher,195,7.16945219039917,-2.232370376586914,2,2,True,b01,597,602,umap,strict_raw_latent,42
Teacher,196,9.251909255981445,19.71491813659668,0,0,True,a01,83,88,umap,strict_raw_latent,42
Teacher,197,13.124466896057129,15.988920211791992,1,1,True,b01,271,276,umap,strict_raw_latent,42
Teacher,198,7.088402271270752,-2.2630960941314697,2,2,True,b01,585,590,umap,strict_raw_latent,42
Teacher,199,13.343297958374023,16.22281837463379,1,1,True,b01,281,286,umap,strict_raw_latent,42
Teacher,200,6.868993282318115,-2.1561639308929443,2,2,True,b01,586,591,umap,strict_raw_latent,42
Teacher,201,11.007454872131348,15.287911415100098,1,1,True,c01,141,146,umap,strict_raw_latent,42
Teacher,202,13.320022583007812,16.200328826904297,1,1,True,b01,274,279,umap,strict_raw_latent,42
Teacher,203,9.319129943847656,19.62803840637207,0,0,True,a01,85,90,umap,strict_raw_latent,42
Teacher,204,5.402641773223877,-7.820286750793457,2,2,True,a01,543,548,umap,strict_raw_latent,42
Teacher,205,7.374286651611328,-1.956396222114563,2,2,True,c01,214,219,umap,strict_raw_latent,42
Teacher,206,9.23449420928955,18.753164291381836,0,0,True,b01,133,138,umap,strict_raw_latent,42
Teacher,207,6.629986763000488,-1.6901684999465942,2,2,True,b01,590,595,umap,strict_raw_latent,42
Teacher,208,13.070469856262207,15.916068077087402,1,1,True,b01,268,273,umap,strict_raw_latent,42
Teacher,209,5.622898101806641,-7.992368221282959,2,2,True,a01,513,518,umap,strict_raw_latent,42
Teacher,210,6.043135643005371,-7.4267802238464355,2,2,True,a01,499,504,umap,strict_raw_latent,42
Teacher,211,7.5959086418151855,-1.8377443552017212,2,2,True,c01,210,215,umap,strict_raw_latent,42
